cr_id,abuse_ct,age_off_comp,civil_ct,complaint_date,corrupt_ct,num_awards,num_coindicated,num_complaints,numwitnesses,operations_ct,substance_ct,time_on_force,discipline,not_operations,injury,administrator,copa_style,search,reform,officer_filed_False,officer_filed_True,officer_filed_Unknown,officer_gender_FEMALE,officer_gender_MALE,officer_race_ASIAN/PACIFIC ISLANDER,officer_race_BLACK,officer_race_HISPANIC,officer_race_NATIVE AMERICAN/ALASKAN NATIVE,officer_race_WHITE
297496,0.0,14361,2.0,2004-04-27,0.0,78.0,6,8.0,0.0,5.0,0.0,575.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
298553,4.0,10022,6.0,2004-06-10,0.0,42.0,4,11.0,0.0,1.0,0.0,1270.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
294004,15.0,13109,23.0,2003-11-22,3.0,133.0,2,50.0,0.0,7.0,0.0,271.0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
293196,6.0,17826,4.0,2003-10-22,6.0,106.0,2,26.0,0.0,9.0,0.0,876.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
300636,3.0,13403,0.0,2004-09-11,2.0,48.0,1,14.0,0.0,8.0,1.0,3505.0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
271208,5.0,19119,3.0,2001-05-08,2.0,12.0,4,13.0,0.0,3.0,0.0,11193.0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
1071280,6.0,13390,18.0,2014-08-31,0.0,72.0,1,37.0,2.0,11.0,1.0,4569.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
305631,2.0,11091,3.0,2005-05-16,2.0,29.0,2,15.0,0.0,7.0,0.0,2028.0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0
296640,18.0,16514,8.0,2004-03-20,6.0,26.0,3,47.0,0.0,13.0,2.0,6955.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1002011,14.0,12401,8.0,2006-12-15,0.0,61.0,7,27.0,13.0,5.0,0.0,3125.0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
1039190,25.0,16667,12.0,2010-08-23,2.0,27.0,1,59.0,2.0,20.0,0.0,7452.0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
276049,14.0,14918,4.0,2001-11-05,2.0,28.0,64,34.0,0.0,13.0,0.0,2163.0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
279626,0.0,22377,6.0,2002-04-08,1.0,1.0,1,14.0,0.0,6.0,0.0,8106.0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
315047,2.0,15136,1.0,2006-08-22,0.0,13.0,1,8.0,0.0,5.0,0.0,1777.0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
281735,0.0,13686,0.0,2002-06-22,0.0,9.0,1,19.0,0.0,19.0,0.0,1559.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1023357,0.0,14633,1.0,2009-01-24,0.0,32.0,14,6.0,25.0,5.0,0.0,943.0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
290623,9.0,19178,3.0,2003-07-05,0.0,22.0,3,25.0,0.0,13.0,0.0,705.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
280402,15.0,12909,20.0,2002-05-07,2.0,14.0,7,43.0,0.0,6.0,0.0,2799.0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0
1040551,2.0,10510,9.0,2010-10-12,0.0,86.0,7,18.0,4.0,6.0,0.0,1414.0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
268755,4.0,12075,2.0,2001-01-25,0.0,22.0,1,7.0,0.0,1.0,0.0,2618.0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1028193,7.0,18092,0.0,2009-07-14,2.0,64.0,49,17.0,12.0,5.0,0.0,6063.0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1
1052695,14.0,14296,23.0,2012-03-20,2.0,118.0,1,48.0,3.0,7.0,0.0,4880.0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
1006493,20.0,19507,15.0,2007-06-13,6.0,7.0,1,56.0,3.0,13.0,1.0,7065.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
279657,0.0,14338,2.0,2002-04-09,0.0,7.0,1,5.0,0.0,3.0,0.0,1949.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
279550,9.0,11409,0.0,2002-04-05,0.0,23.0,1,11.0,0.0,2.0,0.0,1970.0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
276049,4.0,11631,0.0,2001-11-05,7.0,22.0,64,15.0,0.0,4.0,0.0,1827.0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1025191,2.0,19083,4.0,2009-04-01,0.0,19.0,2,14.0,6.0,8.0,0.0,5609.0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
1008353,5.0,11181,1.0,2007-08-13,0.0,53.0,2,9.0,2.0,3.0,0.0,1050.0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
1028193,5.0,13343,5.0,2009-07-14,0.0,44.0,49,12.0,12.0,0.0,0.0,3130.0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0
1074825,19.0,20566,11.0,2015-04-23,0.0,54.0,3,44.0,3.0,11.0,0.0,8333.0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0
284056,5.0,11088,3.0,2002-09-11,1.0,9.0,1,20.0,0.0,11.0,0.0,2133.0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1023617,0.0,11722,4.0,2009-02-04,1.0,46.0,8,9.0,4.0,4.0,0.0,2921.0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0
298076,27.0,14749,7.0,2004-05-20,8.0,30.0,4,67.0,0.0,24.0,0.0,4774.0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
270742,5.0,16546,0.0,2001-04-20,1.0,23.0,1,14.0,0.0,8.0,0.0,4043.0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
309646,1.0,20401,1.0,2005-11-14,4.0,3.0,3,13.0,0.0,7.0,0.0,8941.0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
1009341,0.0,15233,0.0,2007-09-16,0.0,25.0,1,1.0,5.0,1.0,0.0,5781.0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
